Measure,Electrode,Band,Condition,Comparison,p_value,AUC
E,O1,beta,Eyes_open,A_vs_C,0.12350870140782125,0.6443181818181818
E,F4,beta,Eyes_closed,B_vs_D,0.12734414384641438,0.6375
E,T6,alpha,Eyes_closed,B_vs_D,0.12734414384641438,0.3625
A,Fz,Original,Eyes_closed,B_vs_D,0.15551272401278532,0.628125
I,C4,Original,Eyes_open,A_vs_C,0.17076380012516768,0.3715909090909091
F,O2,Original,Eyes_closed,B_vs_D,0.17309124218016436,0.6229166666666667
E,Pz,beta,Eyes_open,A_vs_C,0.17459759294991828,0.6272727272727272
A,C4,Original,Eyes_closed,B_vs_D,0.1749221730810535,0.6223958333333334
E,P4,alpha,Eyes_closed,B_vs_D,0.17677757131875926,0.378125
I,F3,Original,Eyes_open,A_vs_C,0.19895846916700288,0.3795454545454545
E,P3,beta,Eyes_open,A_vs_C,0.20760681560533034,0.6181818181818182
F,Fp1,Original,Eyes_open,A_vs_C,0.20760681560533034,0.6181818181818182
E,T5,alpha,Eyes_closed,B_vs_D,0.2126196598394391,0.38749999999999996
E,Fz,beta,Eyes_closed,B_vs_D,0.22125204963727174,0.6104166666666667
F,C4,Original,Eyes_closed,B_vs_D,0.22125204963727174,0.6104166666666666
E,P3,alpha,Eyes_closed,B_vs_D,0.2346669939729431,0.3927083333333333
E,O2,beta,Eyes_open,A_vs_C,0.24492336175841978,0.609090909090909
E,Pz,alpha,Eyes_closed,B_vs_D,0.2534352976407144,0.396875
F,F8,Original,Eyes_closed,B_vs_D,0.2681806925943191,0.6000000000000001
I,Fp1,Original,Eyes_open,A_vs_C,0.2812392802253083,0.6011363636363636
F,Fz,Original,Eyes_open,A_vs_C,0.2867112469539529,0.6000000000000001
I,P4,Original,Eyes_closed,B_vs_D,0.2940446141847747,0.5947916666666666
I,F4,Original,Eyes_open,A_vs_C,0.30931442317581903,0.40454545454545454
A,T3,Original,Eyes_closed,B_vs_D,0.31590300793623705,0.590625
I,Pz,Original,Eyes_closed,B_vs_D,0.31590300793623705,0.590625
I,Fp1,Original,Eyes_closed,B_vs_D,0.31590300793623705,0.40937500000000004
F,T5,Original,Eyes_closed,B_vs_D,0.3215301870397814,0.5895833333333333
I,Pz,Original,Eyes_open,A_vs_C,0.34536994995630566,0.4113636363636364
I,T3,Original,Eyes_open,A_vs_C,0.3516298782687596,0.4125
F,T4,Original,Eyes_closed,B_vs_D,0.39411092428034133,0.5770833333333333
F,F7,Original,Eyes_open,A_vs_C,0.40426531439409774,0.5784090909090909
I,Fp2,Original,Eyes_open,A_vs_C,0.41116100985417336,0.5772727272727273
I,C4,Original,Eyes_closed,B_vs_D,0.42035331610399995,0.5729166666666667
I,T5,Original,Eyes_closed,B_vs_D,0.42707082184039735,0.571875
I,T4,Original,Eyes_closed,B_vs_D,0.440691915995887,0.5697916666666667
F,O1,Original,Eyes_closed,B_vs_D,0.4686680838685712,0.565625
A,F8,Original,Eyes_open,A_vs_C,0.4687892697850242,0.5681818181818181
A,F8,Original,Eyes_closed,B_vs_D,0.475810949546292,0.5645833333333333
E,C4,beta,Eyes_closed,B_vs_D,0.47581264987464766,0.5645833333333333
I,Fp2,Original,Eyes_closed,B_vs_D,0.48301652706129516,0.4364583333333334
E,Fp2,beta,Eyes_open,A_vs_C,0.48386714482766957,0.5659090909090909
I,O1,Original,Eyes_open,A_vs_C,0.48386714482766957,0.4340909090909091
I,F8,Original,Eyes_closed,B_vs_D,0.49027923142987373,0.4375
E,O2,delta,Eyes_closed,B_vs_D,0.5199079476232995,0.4416666666666666
I,F7,Original,Eyes_closed,B_vs_D,0.5199079476232995,0.44166666666666665
F,P4,Original,Eyes_closed,B_vs_D,0.5199079476232995,0.5583333333333333
A,Pz,Original,Eyes_closed,B_vs_D,0.5274552442374627,0.44270833333333337
E,F8,beta,Eyes_closed,B_vs_D,0.5504340457289478,0.5541666666666667
E,O1,delta,Eyes_closed,B_vs_D,0.5660211854766114,0.4479166666666667
F,Cz,Original,Eyes_closed,B_vs_D,0.5818171438088033,0.55
A,T6,Original,Eyes_closed,B_vs_D,0.6018440673731781,0.4526041666666667
E,Pz,beta,Eyes_closed,B_vs_D,0.605889831963335,0.45312500000000006
I,T5,Original,Eyes_open,A_vs_C,0.6219339248297155,0.45340909090909093
I,F3,Original,Eyes_closed,B_vs_D,0.638660962250941,0.45729166666666665
I,Cz,Original,Eyes_closed,B_vs_D,0.6469686396656169,0.45833333333333326
E,P3,beta,Eyes_closed,B_vs_D,0.6553205473308699,0.459375
F,C3,Original,Eyes_closed,B_vs_D,0.6637157920992234,0.5395833333333333
A,P4,Original,Eyes_closed,B_vs_D,0.6721487052883686,0.4614583333333333
A,T4,Original,Eyes_closed,B_vs_D,0.6806314762605316,0.5375
E,P4,beta,Eyes_closed,B_vs_D,0.6891523745333222,0.46354166666666663
E,O2,beta,Eyes_closed,B_vs_D,0.6891523745333222,0.4635416666666667
E,T5,beta,Eyes_closed,B_vs_D,0.697711714255353,0.46458333333333335
F,T3,Original,Eyes_closed,B_vs_D,0.7323254600806313,0.53125
A,O2,Original,Eyes_closed,B_vs_D,0.7498430734617311,0.4708333333333333
I,F7,Original,Eyes_open,A_vs_C,0.7561978633788488,0.47045454545454546
A,P3,Original,Eyes_closed,B_vs_D,0.7674916797343496,0.47291666666666665
I,F8,Original,Eyes_open,A_vs_C,0.7747813672953308,0.4727272727272727
E,T3,beta,Eyes_closed,B_vs_D,0.7852625014642799,0.5249999999999999
A,O1,Original,Eyes_closed,B_vs_D,0.7941887166423917,0.5239583333333333
I,T3,Original,Eyes_closed,B_vs_D,0.7941902672524248,0.4760416666666667
E,F8,beta,Eyes_open,A_vs_C,0.8123278925675941,0.47727272727272724
I,F4,Original,Eyes_closed,B_vs_D,0.8211313168825869,0.4791666666666667
F,F8,Original,Eyes_open,A_vs_C,0.8312701819319456,0.5204545454545455
A,T5,Original,Eyes_closed,B_vs_D,0.8573770574298711,0.5166666666666667
I,P3,Original,Eyes_closed,B_vs_D,0.8847664763585045,0.5135416666666668
F,Pz,Original,Eyes_closed,B_vs_D,0.8847664763585045,0.4864583333333333
E,T6,beta,Eyes_closed,B_vs_D,0.9031042664972013,0.48854166666666665
I,O1,Original,Eyes_closed,B_vs_D,0.9122932097247557,0.4895833333333333
E,T4,beta,Eyes_closed,B_vs_D,0.9122932097247557,0.5104166666666666
F,P3,Original,Eyes_closed,B_vs_D,0.9122932097247557,0.5104166666666667
I,P3,Original,Eyes_open,A_vs_C,0.9466089803841135,0.5068181818181818
I,C3,Original,Eyes_open,A_vs_C,0.9660087892384952,0.4954545454545455
F,Fz,Original,Eyes_closed,B_vs_D,0.9861242511648031,0.5020833333333334
E,O1,beta,Eyes_closed,B_vs_D,0.9953745431318798,0.4989583333333333
F,Fp2,Original,Eyes_open,A_vs_C,1.0,0.5000000000000001
